genre,theme
Classic Konkani Pop,joyeux
Classic Korean Pop,joyeux
Classic Latvian Pop,joyeux
Classic Luk Thung,énergique
Classic Malaysian Pop,joyeux
Classic Mandopop,joyeux
Classic Moroccan Pop,joyeux
Classic Nepali Pop,joyeux
Classic Norwegian Pop,joyeux
Classic Nz Country,mélancolique
Classic Nz Pop,joyeux
Classic Oklahoma Country,mélancolique
Classic Opm,énergique
Classic Pakistani Pop,joyeux
Classic Persian Pop,joyeux
Classic Peruvian Pop,joyeux
Classic Polish Pop,joyeux
Classic Portuguese Pop,joyeux
Classic Praise,mystérieux
Classic Progressive House,inspirant
Classic Psychedelic Rock,mélancolique
Classic Punjabi Pop,joyeux
Classic Rock,mélancolique
Classic Romanian Pop,joyeux
Classic Russian Pop,joyeux
Classic Russian Rock,mélancolique
Classic Schlager,énergique
Classic Sierreno,énergique
Classic Sinhala Pop,joyeux
Classic Soul,sensuel
Classic Soundtrack,épique
Classic Sudanese Pop,joyeux
Classic Swedish Pop,joyeux
Classic Texas Country,mélancolique
Classic Thai Pop,joyeux
Classic Tollywood,énergique
Classic Tunisian Pop,joyeux
Classic Turkish Pop,joyeux
Classic Uk Pop,joyeux
Classic Ukrainian Pop,joyeux
Classic Venezuelan Pop,joyeux
Classical,calme
Classical Accordion,calme
Classical Baritone,calme
Classical Bass,calme
Classical Bassoon,calme
Classical Cello,calme
Classical Clarinet,calme
Classical Contralto,calme
Classical Countertenor,calme
Classical Era,calme
Classical Flute,calme
Classical Guitar,calme
Classical Guitar Duo,calme
Classical Guitar Quartet,calme
Classical Harp,calme
Classical Horn,calme
Classical Jazz Fusion,relax
Classical Mandolin,calme
Classical Mezzo-soprano,calme
Classical Oboe,calme
Classical Organ,calme
Classical Percussion,calme
Classical Performance,calme
Classical Piano,calme
Classical Piano Duo,calme
Classical Piano Trio,calme
Classical Saxophone,calme
Classical Saxophone Quartet,calme
Classical Soprano,calme
Classical String Trio,calme
Classical Tenor,calme
Classical Trombone,calme
Classical Trumpet,calme
Classical Tuba,calme
Classify,énergique
Clawhammer Banjo,énergique
Clean Comedy,énergique
Cleveland Indie,mélancolique
Cleveland Metal,colère
Cloud Rap,rêveur
Cloud Rap Français,rêveur
Coco,énergique
Cocuk Masallari,énergique
Cocuk Sarkilari,énergique
Coldwave,énergique
Collage Pop,joyeux
College A Cappella,énergique
College Marching Band,énergique
Cologne Electronic,énergique
Cologne Hip Hop,confiant
Cologne Indie,mélancolique
Colombian Black Metal,sombre
Colombian Death Metal,sombre
Colombian Electronic,énergique
Colombian Hardcore,colère
Colombian Hip Hop,confiant
Colombian Indie,mélancolique
Colombian Pop,joyeux
Colombian Rock,mélancolique
Colorado Hardcore,colère
Columbus Ohio Indie,mélancolique
Combos Nacionales,énergique
Comedia,énergique
Comedie Musicale,énergique
Comedienne,énergique
Comedy,énergique
Comedy Rap,confiant
Comedy Rock,mélancolique
Comic,énergique
Comic Metal,colère
Commons,énergique
Complextro,énergique
Compositional Ambient,calme
Comptine,énergique
Comptine Africaine,énergique
Concepcion Indie,mélancolique
Concert Band,énergique
Concertina,énergique
Concurso De Talentos Argentino,énergique
Congolese Gospel,inspirant
Connecticut Hardcore,colère
Connecticut Indie,mélancolique
Conscious Hip Hop,confiant
Contemporary Choir,énergique
Contemporary Classical,calme
Contemporary Classical Piano,calme
Contemporary Country,mélancolique
Contemporary Folk,mélancolique
Contemporary Gospel,inspirant
Contemporary Jazz,relax
Contemporary Post-bop,énergique
Contemporary R&b,énergique
Contemporary Vocal Jazz,relax
Contrabass,énergique
Convent,énergique
Cook Islands Pop,joyeux
Cool Jazz,relax
Copla,énergique
Coptic Hymn,énergique
Coral Gospel,inspirant
Cork Indie,mélancolique
Cornetas Y Tambores,énergique
Cornish Folk,mélancolique
Cornwall Indie,mélancolique
Corrido,énergique
Corridos Alternativos,énergique
Corridos Clasicos,énergique
Corridos Cristianos,énergique
Corridos Tumbados,énergique
Corrosion,énergique
Corsican Folk,mélancolique
Cosmic American,énergique
Cosmic Black Metal,sombre
Cosmic Death Metal,sombre
Cosmic Post-rock,mélancolique
Cosmic Uplifting Trance,énergique
Country,mélancolique
Country Blues,triste
Country Boogie,festif
Country Dawn,mélancolique
Country Gospel,mélancolique
Country Pop,joyeux
Country Quebecois,mélancolique
Country Rap,confiant
Country Road,mélancolique
Country Rock,mélancolique
Coupe-decale,énergique
Coventry Indie,mélancolique
Cover Acustico,énergique
Coverchill,relax
Covertrance,énergique
Covertronica,énergique
Cowboy Western,énergique
Cowpunk,colère
Crack Rock Steady,mélancolique
Crank Wave,énergique
Croatian Electronic,énergique
Croatian Folk,mélancolique
Croatian Hip Hop,confiant
Croatian Indie,mélancolique
Croatian Metal,colère
Croatian Pop,joyeux
Croatian Rock,mélancolique
Crossover Prog,énergique
Crossover Thrash,colère
Cruise,énergique
Crunk,énergique
Crust Punk,colère
Cryptic Black Metal,sombre
Cuarteto,énergique
Cuatro Puertorriqueno,énergique
Cuatro Venezolano,énergique
Cuban Alternative,énergique
Cuban Electronic,énergique
Cuban Funk,festif
Cuban Rumba,énergique
Cubaton,énergique
Cueca Chilena,énergique
Cuento Infantile,énergique
Cumbia,festif
Cumbia 420,festif
Cumbia Amazonica,festif
Cumbia Andina Mexicana,festif
Cumbia Boliviana,festif
Cumbia Chilena,festif
Cumbia Colombiana Regia,festif
Cumbia Del Sureste,festif
Cumbia Ecuatoriana,festif
Cumbia Editada,festif
Cumbia Funk,festif
Cumbia Lagunera,festif
Cumbia Paraguaya,festif
Cumbia Peruana,festif
Cumbia Pop,festif
Cumbia Ranchera,festif
Cumbia Salvadorena,festif
Cumbia Santafesina,festif
Cumbia Sonidera,festif
Cumbia Sonorense,festif
Cumbia Surena,festif
Cumbia Uruguaya,festif
Cumbia Villera,festif
Cyber Metal,colère
Cybergrind,colère
Cyberpunk,colère
Cymraeg,énergique
Cypriot Hip Hop,confiant
Cypriot Metal,colère
Cypriot Pop,joyeux
Czech Alternative Rap,confiant
Czech Classical,calme
Czech Classical Piano,calme
Czech Contemporary Classical,calme
Czech Country,mélancolique
Czech Drill,confiant
Czech Electronic,énergique
Czech Experimental,énergique
Czech Folk,mélancolique
Czech Folk Rock,mélancolique
Czech Hardcore,colère
Czech Hip Hop,confiant
Czech Indie,mélancolique
Czech Jazz,relax
Czech Metal,colère
Czech Pop,joyeux
Czech Pop Rock,mélancolique
Czech Psychedelic,énergique
Czech Punk,colère
Czech Rock,mélancolique
Czech Singer-songwriter,énergique
Czech Swing,relax
Czsk Black Metal,sombre
Czsk Electropop,joyeux
Czsk Emo Rap,triste
Czsk Hip Hop,confiant
Czsk Hyperpop,joyeux
Czsk Reggae,relax
Czsk Viral Pop,joyeux
D-beat,énergique
Dabke,énergique
Dainuojamoji Poezija,énergique
Dakke Dak,énergique
Dalarna Indie,mélancolique
Dallas Indie,mélancolique
Dance Pop,festif
Dance Rock,festif
Dance-punk,festif
Dancefloor Dnb,énergique
Dancehall,festif
Dancehall Chileno,festif
Dancehall Colombiano,festif
Dancehall Guyanaise,festif
Dancehall Mauricien,festif
Dancehall Queen,festif
Dangdut,énergique
Dangdut Koplo,énergique
Dangdut Remix,énergique
Danish Alternative Rock,mélancolique
Danish Black Metal,sombre
Danish Choir,énergique
Danish Classical,calme
Danish Contemporary Classical,calme
Danish Death Metal,sombre
Danish Electro,énergique
Danish Electronic,énergique
Danish Electropop,joyeux
Danish Experimental,énergique
Danish Folk,mélancolique
Danish Hardcore,colère
Danish Hip Hop,confiant
Danish Indie,mélancolique
Danish Indie Pop,mélancolique
Danish Jazz,relax
Danish Metal,colère
Danish Modern Jazz,relax
Danish Pop,joyeux
Danish Pop Rock,mélancolique
Danish Post-punk,colère
Danish Punk,colère
Danish Rock,mélancolique
Danish Singer-songwriter,énergique
Danish Techno,énergique
Dansband,énergique
Danseband,énergique
Dansei Seiyu,énergique
Dansk Comedy,énergique
Dansk Lovsang,énergique
Dansktop,énergique
Danspunk,colère
Danzon,énergique
Darbuka,énergique
Dark Ambient,calme
Dark Black Metal,sombre
Dark Cabaret,sombre
Dark Clubbing,sombre
Dark Disco,sombre
Dark Electro,sombre
Dark Electro-industrial,sombre
Dark Folk,sombre
Dark Hardcore,sombre
Dark Jazz,sombre
Dark Minimal Techno,énergique
Dark Plugg,sombre
Dark Pop,sombre
Dark Post-punk,sombre
Dark Progressive House,sombre
Dark Psytrance,énergique
Dark Rock,sombre
Dark Synthpop,sombre
Dark Techno,énergique
Dark Trap,sombre
Dark Wave,sombre
Darkstep,énergique
Darksynth,énergique
Dayton Indie,mélancolique
Dc Hardcore,colère
Dc Indie,mélancolique
Death Doom,sombre
Death Industrial,sombre
Death Metal,sombre
Death ‘n’ Roll,sombre
Deathcore,colère
Deathgrass,colère
Deathgrind,colère
Deathrash,colère
Deathrock,colère
Deathstep,colère
Deboxe,énergique
Decije Pesme,énergique
Deconstructed Club,énergique
Deep Acoustic Pop,calme
Deep Active Rock,mélancolique
Deep Adult Standards,énergique
Deep Ambient,calme
Deep Big Room,énergique
Deep Brazilian Pop,joyeux
Deep Breakcore,colère
Deep Ccm,énergique
Deep Chill,relax
Deep Chill-out,relax
Deep Christian Rock,mélancolique
Deep Classic Garage Rock,mélancolique
Deep Comedy,énergique
Deep Contemporary Country,mélancolique
Deep Dance Pop,festif
Deep Darkpsy,énergique
Deep Deep House,énergique
Deep Deep Tech House,énergique
Deep Delta Blues,triste
Deep Disco,festif
Deep Disco House,festif
Deep Discofox,festif
Deep Dnb,énergique
Deep Downtempo Fusion,relax
Deep Dubstep,énergique
Deep East Coast Hip Hop,confiant
Deep Euro House,énergique
Deep Eurodance,énergique
Deep Filthstep,énergique
Deep Flow,énergique
Deep Folk Metal,colère
Deep Free Jazz,relax
Deep Freestyle,énergique
Deep Full On,énergique
Deep Funk,festif
Deep Funk House,festif
Deep Funk Ostentacao,festif
Deep G Funk,festif
Deep German Hip Hop,confiant
Deep German Indie,mélancolique
Deep German Punk,colère
Deep Gothic Post-punk,sombre
Deep Groove House,énergique
Deep Happy Hardcore,joyeux
Deep Hardcore,colère
Deep Hardcore Punk,colère
Deep Hardtechno,énergique
Deep House,énergique
Deep Idm,énergique
Deep Indian Pop,joyeux
Deep Indie Pop,mélancolique
Deep Indie Rock,mélancolique
Deep Indie Singer-songwriter,mélancolique
Deep Italo Disco,festif
Deep Jazz Fusion,relax
Deep Latin Alternative,énergique
Deep Latin Christian,inspirant
Deep Latin Jazz,relax
Deep Liquid,énergique
Deep Liquid Bass,énergique
Deep Melodic Death Metal,sombre
Deep Melodic Hard Rock,mélancolique
Deep Melodic Metalcore,colère
Deep Metalcore,colère
Deep Minimal Techno,énergique
Deep Motown,énergique
Deep Neo-synthpop,joyeux
Deep Neofolk,mélancolique
Deep New Americana,mélancolique
Deep New Wave,énergique
Deep Norteno,énergique
Deep Northern Soul,sensuel
Deep Orgcore,colère
Deep Pop Edm,énergique
Deep Pop Emo,triste
Deep Power-pop Punk,colère
Deep Progressive House,inspirant
Deep Progressive Rock,inspirant
Deep Progressive Trance,énergique
Deep Psychobilly,énergique
Deep Psytrance,énergique
Deep Punk Rock,colère
Deep R&b,énergique
Deep Ragga,énergique
Deep Rai,mystérieux
Deep Regional Mexican,énergique
Deep Smooth Jazz,relax
Deep Smooth R&b,relax
Deep Soft Rock,calme
Deep Soul House,sensuel
Deep Soundtrack,épique
Deep Southern Soul,sensuel
Deep Southern Trap,confiant
Deep Space Rock,mélancolique
Deep Sunset Lounge,relax
Deep Surf Music,énergique
Deep Swedish Rock,mélancolique
Deep Symphonic Black Metal,sombre
Deep Talent Show,énergique
Deep Tech House,énergique
Deep Techno,énergique
Deep Tropical House,joyeux
Deep Turkish Pop,joyeux
Deep Underground Hip Hop,confiant
Deep Uplifting Trance,énergique
Deep Vocal House,énergique
Deep Vocal Jazz,relax
Delaware Indie,mélancolique
Delta Blues,triste
Dembow,festif
Demoscene,colère
Dennery Segment,énergique
Denpa-kei,énergique
Denton Tx Indie,mélancolique
Denver Indie,mélancolique
Denver Metal,colère
Denver Rap,confiant
Depressive Black Metal,sombre
Derby Indie,mélancolique
Derry Indie,mélancolique
Desert Blues,triste
Desi Hip Hop,confiant
Desi Pop,joyeux
Desi Trap,confiant
Dessin Anime,énergique
Destroy Techno,énergique
Detroit Hip Hop,confiant
Detroit House,énergique
Detroit Indie,mélancolique
Detroit Rock,mélancolique
Detroit Techno,énergique
Detroit Trap,confiant
Detroit Trap Brasileiro,confiant
Detske Pesnicky,énergique
Detske Pisnicky,énergique
Detski Pesnichki,énergique
Detskie Pesni,énergique
Detskie Rasskazy,relax
Deutsch Disney,énergique
Deutschrock,mélancolique
Devon Indie,mélancolique
Dfw Rap,confiant
Dhrupad,énergique
Dicsoites,énergique
Didgeridoo,énergique
Digital Hardcore,colère
Dinner Jazz,relax
Dirty South Rap,confiant
Dirty Texas Rap,confiant
Disco,festif
Disco House,festif
Disco Polo,festif
Discofox,festif
Disney,énergique
Disney Dansk,énergique
Disney Español,énergique
Disney Horspiele,énergique
Disney Italiano,énergique
Disney Norsk,énergique
Disney Piano,calme
Disney Polska,relax
Disney Portugues,énergique
Disney Portugues Brasil,énergique
Disney Russian,énergique
Disney Suomi,énergique
Disney Svenska,relax
Dissonant Death Metal,sombre
Diva House,énergique
Dixieland,énergique
Diy Emo,triste
Diy Pop Punk,colère
Dizi,énergique
Djecje Pjesme,énergique
Djembe,énergique
Djent,énergique
Dmv Rap,confiant
Dombra,énergique
Dominican Indie,mélancolique
Dominican Pop,joyeux
Dong-yo,énergique
Doo-wop,énergique
Doom Metal,sombre
Doomcore,colère
Doomgaze,colère
Dortmund Indie,mélancolique
Double Drumming,énergique
Doujin,énergique
Downtempo,relax
Downtempo Bass,relax
Downtempo Deathcore,relax
Downtempo Fusion,relax
Draaiorgel,énergique
Draga,énergique
Dragspel,énergique
Drain,mystérieux
Drama,énergique
Dream Pop,mélancolique
Dream Smp,rêveur
Dream Trance,énergique
Dreamgaze,énergique
Dreamo,énergique
Dreampunk,colère
Dresden Indie,mélancolique
Drift,énergique
Drift Phonk,énergique
Drikkelek,énergique
Drill,confiant
Drill And Bass,confiant
Drill Beats,confiant
Drill Brasileiro,confiant
Drill Chileno,confiant
Drill Dominicano,confiant
Drill Español,confiant
Drill Français,confiant
Drill Italiana,confiant
Drill Tuga,confiant
Drone,sombre
Drone Ambient,calme
Drone Folk,sombre
Drone Metal,sombre
Drone Psych,sombre
Drone Rock,sombre
Dronescape,calme
Drum And Bass,énergique
Drumfunk,festif
Drumless Hip Hop,confiant
Dub,relax
Dub Brasileiro,relax
Dub Metal,colère
Dub Poetry,relax
Dub Product,relax
Dub Punk,colère
Dub Reggae,relax
Dub Techno,énergique
Dublin Indie,mélancolique
Dubstep,énergique
Dubstep Product,énergique
Dubsteppe,énergique
Duduk,énergique
Duhovne Pjesme,énergique
Duluth Indie,mélancolique
Dundee Indie,mélancolique
Dunedin Indie,mélancolique
Dunedin Sound,énergique
Dungeon Synth,sombre
Duranguense,énergique
Dusseldorf Electronic,énergique
Dusseldorf Indie,mélancolique
Dutch Americana,mélancolique
Dutch Black Metal,sombre
Dutch Blues,triste
Dutch Cabaret,énergique
Dutch Classical Piano,calme
Dutch Contemporary Classical,calme
Dutch Death Metal,sombre
Dutch Disney,énergique
Dutch Dnb,énergique
Dutch Drill,confiant
Dutch Edm,énergique
Dutch Experimental,énergique
Dutch Experimental Electronic,énergique
Dutch Folk,mélancolique
Dutch Hip Hop,confiant
Dutch House,énergique
Dutch Idol Pop,joyeux
Dutch Indie,mélancolique
Dutch Indie Rock,mélancolique
Dutch Jazz,relax
Dutch Metal,colère
Dutch Moombahton,énergique
Dutch Musical,énergique
Dutch Pop,joyeux
Dutch Prog,énergique
Dutch Punk,colère
Dutch Punk Rock,colère
Dutch R&b,énergique
Dutch Rap Pop,joyeux
Dutch Rock,mélancolique
Dutch Singer-songwriter,énergique
Dutch Stoner Rock,mélancolique
Dutch Tech House,énergique
Dutch Trance,énergique
Dutch Trap,confiant
Dutch Underground Hip Hop,confiant
Dweilorkest,énergique
Dytyachi Pisni,énergique
Early American Folk,mélancolique
Early Avant Garde,énergique
Early French Punk,colère
Early Modern Classical,calme
Early Music,énergique
Early Music Choir,énergique
Early Music Ensemble,énergique
Early Reggae,relax
Early Romantic Era,calme
Early Synthpop,joyeux
Early Us Punk,colère
East Anglia Indie,mélancolique
East Coast Hip Hop,confiant
East Coast Reggae,relax
Eastern Bloc Groove,énergique
Easy Listening,énergique
Easycore,colère
Eau Claire Indie,mélancolique
Ebm,énergique
Ecm-style Jazz,relax
Ectofolk,mélancolique
Ecuadorian Alternative Rock,mélancolique
Ecuadorian Indie,mélancolique
Ecuadorian Pop,joyeux
Edinburgh Indie,mélancolique
Edinburgh Metal,colère
Edm,énergique
Edmonton Indie,mélancolique
Egg Punk,colère
Egyptian Alternative,énergique
Egyptian Hip Hop,confiant
Egyptian Pop,joyeux
Egyptian Traditional,énergique
Egyptian Trap,confiant
El Paso Indie,mélancolique
Electra,énergique
Electric Bass,énergique
Electric Blues,triste
Electro,énergique
Electro Bailando,énergique
Electro Dub,énergique
Electro House,énergique
Electro Jazz,énergique
Electro Latino,énergique
Electro Swing,énergique
Electro Trash,énergique
Electro-industrial,sombre
Electro-pop Français,joyeux
Electroacoustic Composition,énergique
Electroacoustic Improvisation,énergique
Electroclash,énergique
Electrofox,énergique
Electronic Djent,énergique
Electronic Rock,mélancolique
Electronic Trap,confiant
Electronica,énergique
Electronica Argentina,énergique
Electronica Chilena,énergique
Electronica Cristiana,énergique
Electronica Peruana,énergique
Electronica Venezuela,énergique
Electronicore,colère
Electropop,joyeux
Electropowerpop,colère
Elektropunk,colère
Elephant 6,énergique
Eletronica Underground Brasileira,énergique
Emo,triste
Emo Mexicano,triste
Emo Punk,triste
Emo Rap,triste
Emo Rap Italiano,triste
Emo Trap En Español,triste
Emo Trap Italiana,triste
Emocore,colère
Emoplugg,colère
Emotional Black Metal,sombre
Emoviolence,colère
English Baroque,calme
English Indie Rock,mélancolique
English Renaissance,énergique
Enka,énergique
Ensemble Stars,énergique
Entehno,énergique
Environmental,énergique
Epa Dunk,énergique
Epic Black Metal,sombre
Epic Doom,sombre
Epicore,colère
Epunk,colère
Er Ge,énergique
Erhu,énergique
Eritrean Pop,joyeux
Erotic Product,énergique
Erotica,énergique
Escape Room,énergique
Esperanto,énergique
Essex Indie,mélancolique
Estonian Electronic,énergique
Estonian Folk,mélancolique
Estonian Hip Hop,confiant
Estonian Indie,mélancolique
Estonian Jazz,relax
Estonian Metal,colère
Estonian Pop,joyeux
Estonian Rock,mélancolique
Ethereal Gothic,sombre
Ethereal Wave,rêveur
Etherpop,joyeux
Ethio-jazz,relax
Ethiopian Hip Hop,confiant
Ethiopian Pop,joyeux
Ethiopian Traditional,énergique
Ethnomusicology,énergique
Ethnotronica,énergique
Eugene Indie,mélancolique
Euphonium,énergique
Euphoric Hardstyle,énergique
Euro Hi-nrg,énergique
Eurobeat,énergique
Eurodance,énergique
Europop,joyeux
Euroska,relax
Eurovision,énergique
Euskal Indie,mélancolique
Euskal Metal,colère
Euskal Musica,relax
Euskal Rock,mélancolique
Eventyr,énergique
Exotica,énergique
Experimental,énergique
Experimental Ambient,calme
Experimental Bass,énergique
Experimental Big Band,énergique
Experimental Black Metal,sombre
Experimental Classical,calme
Experimental Club,énergique
Experimental Dub,relax
Experimental Dubstep,énergique
Experimental Electronic,énergique
Experimental Folk,mélancolique
Experimental Guitar,énergique
Experimental Hip Hop,confiant
Experimental House,énergique
Experimental Indie,mélancolique
Experimental Indie Rock,mélancolique
Experimental Jazz,relax
Experimental Percussion,énergique
Experimental Poetry,énergique
Experimental Pop,joyeux
Experimental Psych,énergique
Experimental R&b,énergique
Experimental Rock,mélancolique
Experimental Synth,énergique
Experimental Techno,énergique
Experimental Vocal,énergique
Fado,énergique
Fado Antigo,énergique
Fado De Coimbra,énergique
Fado Instrumental,énergique
Fake,énergique
Fallen Angel,énergique
Family Gospel,inspirant
Fan Chant,énergique
Fantasy,énergique
Fantasy Metal,colère
Faroese Folk,mélancolique
Faroese Indie,mélancolique
Faroese Jazz,relax
Faroese Pop,joyeux
Faroese Rock,mélancolique
Fast Melodic Punk,colère
Festigal,énergique
Fictitious Orchestra,énergique
Fidget House,énergique
Field Recording,énergique
Fife And Drum,énergique
Fijian Pop,joyeux
Filmi,énergique
Filter House,énergique
Filthstep,énergique
Final Fantasy,énergique
Fingerstyle,énergique
Finlandssvenska Musik,relax
Finnish Alternative Rock,mélancolique
Finnish Black Metal,sombre
Finnish Blues,triste
Finnish Choir,énergique
Finnish Classical,calme
Finnish Contemporary Classical,calme
Finnish Dance Pop,festif
Finnish Death Metal,sombre
Finnish Doom Metal,sombre
Finnish Drill,confiant
Finnish Edm,énergique
Finnish Electro,énergique
Finnish Electronic,énergique
Finnish Experimental,énergique
Finnish Folk,mélancolique
Finnish Hard Rock,mélancolique
Finnish Hardcore,colère
Finnish Heavy Metal,colère
Finnish Hip Hop,confiant
Finnish Idol Pop,joyeux
Finnish Indie,mélancolique
Finnish Jazz,relax
Finnish Melodeath,colère
Finnish Metal,colère
Finnish Metalcore,colère
Finnish Modern Jazz,relax
Finnish New Wave,énergique
Finnish Pop,joyeux
Finnish Pop Punk,colère
Finnish Post-punk,colère
Finnish Power Metal,épique
Finnish Progressive Metal,inspirant
Finnish Progressive Rock,inspirant
Finnish Psychedelic Rock,mélancolique
Finnish Punk,colère
Finnish Reggae,relax
Finnish Rockabilly,mélancolique
Finnish Soul,sensuel
Finnish Tango,festif
Finnish Techno,énergique
Finnish Trap,confiant
Finnish Worship,énergique
Firenze Indie,mélancolique
Fisarmonica,énergique
Flamenco,énergique
Flamenco Fusion,énergique
Flamenco Guitar,énergique
Flamenco Urbano,énergique
Flemish Folk,mélancolique
Flick Hop,énergique
Flint Hip Hop,confiant
Float House,rêveur
Florida Death Metal,sombre
Florida Drill,confiant
Florida Hardcore,colère
Florida Rap,confiant
Flute Rock,mélancolique
Fluxwork,énergique
Fnaf,énergique
Fnf,énergique
Fo Jing,énergique
Focus,énergique
Focus Beats,énergique
Focus Trance,énergique
Fogo Pentecostal,énergique
Folclor Afrocolombiano,énergique
Folclor Colombiano,énergique
Folclore Castilla Y Leon,énergique
Folclore Extremeno,énergique
Folclore Jujeno,énergique
Folclore Navarra,énergique
Folclore Portugues,énergique
Folclore Salteno,énergique
Folclore Santiagueno,énergique
Folclore Tucumano,énergique
Folk,mélancolique
Folk Black Metal,sombre
Folk Brasileiro,mélancolique
Folk Cantabria,mélancolique
Folk Metal,colère
Folk Metal Latinoamericano,colère
Folk Punk,colère
Folk Rock,mélancolique
Folk Rock Italiano,mélancolique
Folk Siciliana,mélancolique
Folk-pop,joyeux
Folklore Argentino,mélancolique
Folklore Boliviano,mélancolique
Folklore Chileno,mélancolique
Folklore Cuyano,mélancolique
Folklore Ecuatoriano,mélancolique
Folklore Nuevo Argentino,mélancolique
Folklore Panameno,mélancolique
Folklore Paraguayo,mélancolique
Folklore Peruano,mélancolique
Folklore Quebecois,mélancolique
Folklore Surero,mélancolique
Folklore Uruguayo,mélancolique
Folklore Venezolano,mélancolique
Folklore Veracruzano,mélancolique
Folkmusik,mélancolique
Folktronica,mélancolique
Football,énergique
Footwork,énergique
Forest Black Metal,sombre
Forest Psy,énergique
Forro,festif
Forro De Favela,festif
Forro Gospel,festif
Forro Instrumental,festif
Forro Manauara,festif
Forro Tradicional,festif
Fort Wayne Indie,mélancolique
Fort Worth Indie,mélancolique
Fotbollslatar,énergique
Fourth World,énergique
Franco-flemish School,énergique
Francoton,énergique
Frankfurt Electronic,énergique
Frankfurt Indie,mélancolique
Frauenrap,confiant
Freak Folk,mélancolique
Freakbeat,énergique
Free Folk,mélancolique
Free Improvisation,énergique
Free Jazz,relax
Freeform Hardcore,colère
Freestyle,énergique
Fremantle Indie,mélancolique
French Baroque,calme
French Black Metal,sombre
French Classical Piano,calme
French Contemporary Classical,calme
French Death Metal,sombre
French Dnb,énergique
French Dub,relax
French Experimental Rock,mélancolique
French Folk,mélancolique
French Folk Pop,joyeux
French Garage Rock,mélancolique
French Hardcore,colère
French Hip Hop,confiant
French Indie Folk,mélancolique
French Indie Pop,mélancolique
French Indietronica,mélancolique
French Jazz,relax
French Metal,colère
French Movie Tunes,énergique
French Oi,énergique
French Opera,énergique
French Orchestra,énergique
French Pop,joyeux
French Post-punk,colère
French Post-rock,mélancolique
French Psychedelic,énergique
French Punk,colère
French Reggae,relax
French Renaissance,énergique
French Rock,mélancolique
French Rock-and-roll,mélancolique
French Rockabilly,mélancolique
French Romanticism,énergique
French Shoegaze,mélancolique
French Soundtrack,épique
French Stoner Rock,mélancolique
French Synthpop,joyeux
French Tech House,énergique
French Techno,énergique
French Worship,énergique
Frenchcore,colère
Frevo,énergique
Friese Muziek,énergique
Fuji,énergique
Full On,énergique
Funana,énergique
Funeral Doom,sombre
Funk,festif
Funk 150 Bpm,festif
Funk Bh,festif
Funk Capixaba,festif
Funk Carioca,festif
Funk Consciente,festif
Funk Das Antigas,festif
Funk Evangelico,festif
Funk Mandelao,festif
Funk Melody,festif
Funk Metal,colère
Funk Mexicano,festif
Funk Mtg,festif
Funk Ostentacao,festif
Funk Paulista,festif
Funk Pop,joyeux
Funk Rj,festif
Funk Rock,mélancolique
Funk Viral,festif
Funky Breaks,festif
Funky House,festif
Funky Tech House,festif
Fussball,énergique
Future Ambient,calme
Future Bass,énergique
Future Funk,festif
Future Garage,mélancolique
Future House,énergique
Future Rock,mélancolique
Futurepop,joyeux
Futuristic Swag,confiant
G Funk,festif
G-house,énergique
Gabba,énergique
Gabonese Pop,joyeux
Gaddiyali Pop,joyeux
Gaian Doom,sombre
Gainesville Indie,mélancolique
Gaita,énergique
Gaita Zuliana,énergique
Galante Era,énergique
Galego,énergique
Galician Folk,mélancolique
Galician Indie,mélancolique
Galician Jazz,relax
Galician Rock,mélancolique
Galway Indie,mélancolique
Gambian Hip Hop,confiant
Gambian Pop,joyeux
Game Mood,énergique
Gamecore,colère
Gamelan,énergique
Gaming Dubstep,énergique
Gaming Edm,énergique
Gangster Rap,confiant
Garage House,mélancolique
Garage Pop,mélancolique
Garage Psych,mélancolique
Garage Punk,colère
Garage Punk Blues,triste
Garage Rock,mélancolique
Garage Rock Mexicano,mélancolique
Garage Rock Revival,mélancolique
Garhwali Pop,joyeux
Garifuna Folk,mélancolique
Gauze Pop,joyeux
Gay Chorus,énergique
Gayageum,énergique
Gbvfi,énergique
Geek Folk,mélancolique
Geek Rock,mélancolique
Geinin Song,énergique
Gen Z Singer-songwriter,énergique
Gengetone,énergique
Genshin,énergique
Georgian Alternative,énergique
Georgian Electronic,énergique
Georgian Folk,mélancolique
Georgian Hip Hop,confiant
Georgian Polyphony,énergique
Georgian Pop,joyeux
German Alternative Rap,confiant
German Alternative Rock,mélancolique
German Baroque,calme
German Black Metal,sombre
German Blues,triste
German Boom Bap,énergique
German Ccm,énergique
German Choir,énergique
German Classical Piano,calme
German Cloud Rap,rêveur
German Contemporary Classical,calme
German Country,mélancolique
German Dance,festif
German Dark Minimal Techno,énergique
German Death Metal,sombre
German Dnb,énergique
German Drill,confiant
German Electronica,énergique
German Grindcore,colère
German Hard Rock,mélancolique
German Hardcore,colère
German Heavy Metal,colère
German Hip Hop,confiant
German House,énergique
German Hyperpop,joyeux
German Indie,mélancolique
German Indie Folk,mélancolique
German Indie Pop,mélancolique
German Indie Rock,mélancolique
German Jazz,relax
German Jazz Rap,confiant
German Literature,énergique
German Melodeath,colère
German Metal,colère
German Metalcore,colère
German Oi,énergique
German Opera,énergique
German Orchestra,énergique
German Pagan Metal,colère
German Pop,joyeux
