genre,theme
Austin Singer-songwriter,énergique
Austindie,mélancolique
Australian Alternative Pop,joyeux
Australian Alternative Rock,mélancolique
Australian Ambient,calme
Australian Americana,mélancolique
Australian Black Metal,sombre
Australian Blues,triste
Australian Children’s Music,énergique
Australian Choir,énergique
Australian Classical,calme
Australian Classical Piano,calme
Australian Comedy,énergique
Australian Country,mélancolique
Australian Dance,festif
Australian Death Metal,sombre
Australian Electropop,joyeux
Australian Experimental,énergique
Australian Garage Punk,colère
Australian Hardcore,colère
Australian Hip Hop,confiant
Australian House,énergique
Australian Indie,mélancolique
Australian Indie Folk,mélancolique
Australian Indie Rock,mélancolique
Australian Indigenous,énergique
Australian Indigenous Hip Hop,confiant
Australian Jazz,relax
Australian Metal,colère
Australian Metalcore,colère
Australian Pop,joyeux
Australian Post-hardcore,colère
Australian Post-punk,colère
Australian Post-rock,mélancolique
Australian Psych,énergique
Australian R&b,énergique
Australian Reggae Fusion,relax
Australian Rock,mélancolique
Australian Rockabilly,mélancolique
Australian Shoegaze,mélancolique
Australian Singer-songwriter,énergique
Australian Ska,relax
Australian Talent Show,énergique
Australian Techno,énergique
Australian Thrash Metal,colère
Australian Trap,confiant
Australian Underground Hip Hop,confiant
Austrian Black Metal,sombre
Austrian Choir,énergique
Austrian Classical Piano,calme
Austrian Contemporary Classical,calme
Austrian Dnb,énergique
Austrian Hip Hop,confiant
Austrian Indie,mélancolique
Austrian Jazz,relax
Austrian Metal,colère
Austrian Orchestra,énergique
Austrian Pop,joyeux
Austrian Punk,colère
Austrian Stoner Rock,mélancolique
Austrian Techno,énergique
Austro-german Modernism,énergique
Austropop,joyeux
Auteur-compositeur-interprete Quebecois,énergique
Autoharp,énergique
Autonomous Black Metal,sombre
Avant-garde,énergique
Avant-garde Black Metal,sombre
Avant-garde Jazz,relax
Avant-garde Metal,colère
Avant-rock,mélancolique
Axe,énergique
Azeri Alternative,énergique
Azeri Pop,joyeux
Azeri Rap,confiant
Azeri Traditional,énergique
Azonto,énergique
Azontobeats,énergique
Bachata,sensuel
Bachata Dominicana,sensuel
Bachchon Ke Geet,énergique
Background Jazz,relax
Background Jazz Product,relax
Background Music,énergique
Background Piano,calme
Backing Track,énergique
Baglama,énergique
Bagpipe,énergique
Bagpipe Marching Band,énergique
Bahai,énergique
Bahamian Folk,mélancolique
Bahamian Pop,joyeux
Baiao,énergique
Baithak Gana,énergique
Baja Indie,mélancolique
Bajan Soca,festif
Bajki,énergique
Bakersfield Sound,énergique
Bal-musette,énergique
Balafon,énergique
Balalaika,énergique
Balearic,relax
Balfolk,mélancolique
Bali Indie,mélancolique
